,lyrics,class
5046,算的认真 盘道考证 路过的人们都并非再陌生,4.0
5047,我们的世界 我们的ocean 跑的再远你也到不了丹镇,4.0
5048,欢迎你来丹镇找我决斗,4.0
5049,动口或动手你自己选咯,4.0
5050,选哪种都让你输的惨wow,4.0
5160,Welcome to my CDC 我带你到处漫游,4.0
5161,从北门再到南门我们从来不用犯愁,4.0
5162,我开起挖掘机就拆了烂房子和烂楼,4.0
5163,我的区域我来负责,4.0
5164,另有目的的人全部都会被我杜绝,4.0
5165,从不遵守规则因为我们耍得出格,4.0
5166,所有兴奋剂都摆到面前马上准备注射,4.0
5167,永远少不到的都是那些狗狗还有 猫猫儿,4.0
5168,反正有些说唱永远都是skr kr,4.0
5169,我听你的说唱感觉像是没吃 ber ber,4.0
5170,所以你就不要在我面前假了,4.0
5171,在我身上是你永远学不会的洒脱,4.0
5172,随时我都跟我兄弟一起started from the bottom,4.0
5173,所有废铜烂铁全部都该交给我来打磨,4.0
5174,让我赤手空拳我也能够解决所有trouble,4.0
5175,这么狂妄那是因为拥有百分百的把握,4.0
5176,一天24个小时不停 hustle hustle hustle,4.0
5177,一直 hustle every day,4.0
5178,因为我们耍得野,4.0
5179,我的每段verse都能让你从头爽到尾,4.0
5180,做的每段事情都是为了要让你后悔,4.0
5181,写不出来这种歌词那就闭上你的嘴,4.0
5182,看哈哪个超些,4.0
5183,我认不到你我就不会接受你的邀约,4.0
5184,我们随时开起车子就在高速公路飙车,4.0
5185,等我卷走所有钞票之后我就远走高飞 yeah,4.0
5223,Maybe I'm Trippin. 可我爱这状态,4.0
5224,轻松的面对每个障碍,4.0
5225,不会在计较你夺走的那些,4.0
5226,我学会 如何才慷慨,4.0
5227,跟着我的感觉 再次迈开步,4.0
5228,放下了包袱 再次上路,4.0
5229,我只要这旋律不断重复,4.0
5342,毒液扩散你的细胞让你害怕,4.0
5343,随便叫人过来搭救都是白搭,4.0
5344,我知道这次后没人会记住你,4.0
5345,随便你嫉妒起还是要计数器,4.0
7146,上善若水三千 我从冬眠中醒来迎来我应得的春天,4.0
7147,但内心荒芜 无人烟,4.0
7148,昨天我倒在河边 但明日我会站在那山巅,4.0
7149,和另一半的自己斩断了牵连 羽化而登仙,4.0
7150,挣钱 省钱 升天,4.0
7151,我不想再三点一线,4.0
7152,也幻想有朝一日回天,4.0
7153,从今往后自由的抚养能够不再举步维艰,4.0
7154,告别过去的神经病,4.0
7155,没必要再和魔鬼谈生意,4.0
7156,会一直拼到马死黄金尽,4.0
7157,就算跑断了脚筋 也迟早会有我的一席之地,4.0
7158,没有回忆 不留痕迹,4.0
7159,有没有未来 有没有头绪,4.0
7160,没有容器 也没有能力,4.0
7161,太不识趣 有没有商量余地,4.0
7162,我已经把所有的过错都在前面给犯掉,4.0
7163,我听见掌管时间的女神在背地里偷笑,4.0
7164,我努力让自己不再怠倦 鼓起勇气和上帝来猜拳,4.0
7165,成功的滋味不算太甜,4.0
7166,你还没走吗 你总是四处扩张,4.0
7167,你还没走吗 我抱头 只顾躲藏,4.0
7168,你还是没走吗 你还是没走吗,4.0
7169,上善若水三千 我从冬眠中醒来迎来我应得的春天,4.0
7170,但内心荒芜 无人烟,4.0
7171,昨天我倒在河边 但明日我会站在那山巅,4.0
7172,和另一半的自己斩断了牵连 羽化而登仙,4.0
7173,你还没走吗 你总是四处扩张,4.0
7174,你还没走吗 我抱头 只顾躲藏,4.0
7175,你还是没走吗 你还是没走吗,4.0
7176,上善若水三千 我从冬眠中醒来迎来我应得的春天,4.0
7177,但内心荒芜 无人烟,4.0
7178,昨天我倒在河边 但明日我会站在那山巅,4.0
7179,和另一半的自己斩断了牵连 羽化而登仙,4.0
14825,成功是 唯一结果,4.0
14826,搞得定 所有的货,4.0
14829,外太空 才是我 最后要 到达的 精准的 着陆点,4.0
14830,在失重 的状态下 我也能 轻松的 找得到 着力点,4.0
