,lyrics,class
18940,你也许和他一样 心里仍充满着希望,7.0
18941,也许大家都一样 默念着不要被遗忘,7.0
18942,熟悉的飞行模式能带他去更远的地方,7.0
18943,无所谓是两个人还是慢灵魂在流浪,7.0
18944,你也许和他一样 心里仍充满着希望,7.0
18945,也许大家都一样 默念着不要被遗忘,7.0
18946,熟悉的飞行模式能带他去更远的地方,7.0
18947,无所谓是两个人还是慢灵魂在流浪,7.0
39877,你的余生都将睁着一只眼睛睡觉,7.0
39878,我要爱,7.0
39879,或是死,7.0
39880,小时候 我的妈妈 跟我说,7.0
39881,一个人走偏僻的夜路 千万小心点,7.0
39882,长大后我发现有时候人多了更危险,7.0
39883,人心是 比未知的事物更可怕的鬼,7.0
39884,我讨厌变化 所以安于现状,7.0
39885,一成不变对美好抱有念想,7.0
39886,而现在我只会朝我看的到的方向冲,7.0
39887,迟早有天会刮起比它们要更大的风,7.0
39888,但 时常 有很多麻烦 围绕着我,7.0
39889,但 我 不会因为它所停止,7.0
39890,因为这不划算 即使 身边人都离开,7.0
39891,but l don't care 我绝对不走极端,7.0
40030,在每个晚上到早上跟着节奏摇晃,7.0
40031,幻想着去流浪 向远方遥望,7.0
40032,他想做的,7.0
40033,有的做了有的没做,7.0
40034,他做的每个选择,7.0
40035,都相信自己没错,7.0
40036,如果你看见他 帮我告诉他接着做梦别停下,7.0
40037,等他看遍这个世界还有人等他回家,7.0
40038,这个城市的夜晚 呼啸而过的风,7.0
40039,五彩缤纷的路灯 光怪陆离的梦,7.0
40040,他发誓不再是人群中最不起眼的那一个,7.0
40041,他仿佛看见自己成为shiny star的内一刻,7.0
40042,他和你一样,7.0
40043,有时也不太一样,7.0
40044,有太多太不理想,7.0
40045,他不知该对谁讲,7.0
40046,他带着梦想不知道又熬了多少夜,7.0
40047,直到他看见台下人们都跟着他喊Hell Yeah,7.0
40048,曾经他和你一样仰望,7.0
40049,现在他站在台上,7.0
40050,曾经他寻找力量,7.0
40051,现在他就是力量！,7.0
40052,直到他知道至少自己不是一个人战斗,7.0
40053,曾经他为了自己现在为他们攥紧拳头,7.0
40054,他发过的誓 写过的字,7.0
40055,大不了再来一次,7.0
40056,做过的梦 磕过的痛,7.0
40057,变成惊天战无不胜,7.0
40058,你看见他 抱抱他 问问他 累了么,7.0
40059,向前冲 别停下,7.0
40060,我在这儿等他回家,7.0
40271,当我坐着火车 来到北京的第一天,7.0
40272,城市车水马龙让我觉着很新鲜,7.0
42338,无论被谁救醒,7.0
42339,总有冷落自己的举动,7.0
42340,但是我一定会提醒自己,7.0
42341,如果还有明天,7.0
42342,总不在乎这种感受,7.0
42343,但是我要把握每次感动,7.0
42344,如果还有明天,7.0
42345,你想怎样装扮你的脸,7.0
42346,是不是你也想要问我,7.0
42347,究竟有多少事还没做,7.0
42348,如果还有明天,7.0
42349,是否能把事情都做完,7.0
42350,是否一切也将云消烟散,7.0
42351,如果没有明天,7.0
42352,你想怎样装扮你的脸,7.0
42353,如果没有明天,7.0
42354,你想怎样装扮你的脸,7.0
42355,如果没有明天,7.0
53869,也许会有那么一天Ya'll Know My Name,7.0
53870,不看好我的一直有Y'all Ready Know,7.0
53871,你要相信我会变得越来越优秀,7.0
53872,争取任何我想要的Do It For Sure,7.0
53873,终究会有那么一天Ya'll Know My Name,7.0
53874,无所畏惧艰难困惑Y'all Ready Know,7.0
53875,你会看到我会变得越来越优秀,7.0
53876,拿下任何我想要的 Do It For Sure,7.0
