,lyrics,class
1035,当我们开始工作,12.0
1036,老人说长大了人要实际和稳妥,12.0
1037,在忙忙碌碌的人海中奔波,12.0
1038,期盼很少 现实的压力却很多,12.0
1039,想起从前的梦想只是微微一笑然后沉默,12.0
1040,时间从未等待我们 想起从前的作文,12.0
1041,说长大了要做个怎样的人,12.0
1042,可转眼已是长大的人,12.0
1043,常常丢了心 分了神 还在假装不过问,12.0
1044,还在学着怎样做人,12.0
1045,默默接受着一样的方式和标准,12.0
1046,所谓的成功好像是一样的脚本,12.0
1047,随时都在瞄准,12.0
1048,不知谁画好的target 被迫去了解的market,12.0
1049,全副武装心却空空荡荡从来没有harvest,12.0
1050,太多时间忙碌 为了生活理想早已让步,12.0
1051,岁月如梭 多少次被挡路,12.0
1388,我和你都一样面带着笑容,12.0
1389,从我脸上看出了一丝潮红,12.0
1390,oh yeah 我这迷人的BAD GIRL,12.0
1391,出现 让你覆水难收,12.0
1392,把我推倒之后再拥抱,12.0
1393,有一天我朝你这么样的靠近,12.0
1394,我知道这是爱情给予我的报应,12.0
1395,你对我摆出鬼脸我在对你挑衅,12.0
1396,我每个动作都快要掉你的小命,12.0
1397,我拼命的努力不想让这次扫兴,12.0
1398,啊 我真的不知道my baby boy,12.0
1399,没有我的日子你就像是在做针灸,12.0
1400,我每次舞动都会让你有一点无助,12.0
1401,还记得我的初衷说是帮你排除毒素,12.0
1402,我记得 我记得 我记得你对我说要接着,12.0
1403,太晚了 太晚了 但是没有一个人歇了火,12.0
1404,该怎么样才能够戒了我这一种感情,12.0
1405,oh yeah 当你对我说我真的有点迷人,12.0
1406,我的每一次的鼓励都比风油精还提神,12.0
1407,没有别的原因 只因为你的对我信得过,12.0
1408,锅贴 豆浆 粢饭糕 和 豆腐脑,12.0
1409,出现 让你覆水难收,12.0
1410,别在让你对我停止去触碰,12.0
1411,出现 让你覆水难收,12.0
1412,把我推倒之后再拥抱,12.0
1413,不屑跟你作对Okey 无所谓,12.0
1414,怼甜横空出世,12.0
1415,无人将她击退,12.0
1416,我用你想都想不到的招数,12.0
1417,爬到你想都不敢想的高度,12.0
1418,你坚信冥冥之中早已自有定数,12.0
1419,安于现状朋友圈里庆祝,12.0
1420,赢的多夸张掌握成功的秘方,12.0
1421,把我的才华装不下的全都装到行李箱,12.0
1422,你说你热血满腔还有诗和远方,12.0
1423,有塌may的什么用你都坐不起经济舱,12.0
1424,我的风格从不会单一,12.0
1425,就像每段Verse都充满心机,12.0
1426,每个字都干净都任性都非常挑衅,12.0
1427,每个韵脚在我脑里堆积,12.0
1428,我正在进击你没法阻挡,12.0
1429,发誓消灭所有巨人请叫我兵长,12.0
1430,你样子超凶对伴侣不忠,12.0
1431,你拿着爸妈血汗还装作玩世不恭,12.0
1432,我就是讨厌你没有理由,12.0
1433,我有我的态度从不跟主流,12.0
1434,所有你梦寐以求的东西我寄予笔头,12.0
1435,从不低三下四向人乞求,12.0
2492,今天星期几 好像天气晴,12.0
2493,微信留言有句morning honey,12.0
2494,撒娇就是起床气 每天重复在放映,12.0
2495,晚点起来没关系 是假期不用着急,12.0
2496,你那边好像要下雪了,12.0
2497,圣诞节又要来了,12.0
2498,放好你夏天寄来的vans,12.0
2499,即便晴天也不再露肚子,12.0
