,lyrics,class
7818,如果死亡将要来临,1.1
7819,是悲观在家等死,1.1
7820,还是出门扑克？,1.1
7821,如果死亡将来临,1.1
7822,我想被别人记住,1.1
7823,给自己留个遗嘱,1.1
7824,为了捉弄那个律师比如,1.1
7825,在信封里夹只,1.1
7826,干瘪的壁虎,1.1
7827,如果脸颊有眼泪流下,1.1
7828,就开玩笑说,1.1
7829,在病床努力起身,1.1
7830,拥抱那两个,1.1
7831,正在假笑的父母,1.1
7832,跟夹杂白发的爸爸,1.1
7833,道歉在青春期,1.1
7834,不尊重他的错误,1.1
7835,想说句妈妈我爱你,1.1
7836,怎么眼角也变的模糊,1.1
7837,然后再假装认个错,1.1
7838,我这臭脾气让我,1.1
7839,失去了太多,1.1
7840,再给几秒拜托,1.1
7841,我还要说,1.1
7842,告诉我你是不是,1.1
7843,真的爱过我,1.1
7844,我在问你,1.1
7845,别假装不知道,1.1
7846,你知道我说的就是你,1.1
7847,这辈子只有你一个,1.1
7848,可以让我爱你爱到窒息,1.1
7849,看我现在这样子,1.1
7850,对了,1.1
7851,我走了记得给我烧,1.1
7852,那堆放粉丝明信片的箱子,1.1
7853,作为回报我会先替你,1.1
7854,去看看梦芸如今的样子,1.1
7855,如果死亡将要来临,1.1
7856,是悲观在家等死,1.1
7857,还是出门扑克？,1.1
7858,如果死亡将来临,1.1
7859,我想被别人记住,1.1
7860,黑不见底的黑不见底的黑色,1.1
7861,有束白光在黑不见底闪着,1.1
7862,白色闪烁在白色间隙里闪着,1.1
7863,白色见底是白色天使在站着,1.1
7864,没用过金匙盛汤 同样也也没混过地下,1.1
7865,庆幸这该死的音乐在拖后腿,1.1
7866,才发现自己有多后悔,1.1
7867,麦克风握在身前 汗水在手心的甜,1.1
7868,不管又走了多年 与音乐还保持着联络,1.1
7869,朋友是药丸的惯犯者 随时间的推移也看淡了,1.1
7870,所以也难得有这样的感叹,1.1
7871,没受过维也纳金色的熏陶,1.1
7872,把琴键给轻敲 平凡的精卫也能掀起远海的惊涛,1.1
7873,也许我内心是畏惧eh 也许和他们是对立的eh,1.1
7874,所以扑向燃起的烧身的野火,1.1
7875,那些无法去先知的结果 笨重的时间它将会去解锁,1.1
7876,都想不费力就当莫扎特 像理查德曼或巴赫,1.1
7877,当这世界变成一个时装展 街头诗人依旧穿破夹克,1.1
7878,去繁华的国度里历险 在无人的荒岛上流放,1.1
7879,在脑海里反复的预演 到头来连呼吸都变得惆怅,1.1
7880,一个人背起这无边的梦,1.1
7881,就会 受罪 都没 后退,1.1
7882,太多双眼睛在注视你eh 都想要拿我的故事比对,1.1
7883,只是个玩家 又不是圣人 谁不想靠靠音乐谋财,1.1
7884,不同的角色尽情的扮演 剧情有太多的留白,1.1
7885,就像是叶能被清风给卷落 就像是镜能被滴水给点破,1.1
7886,看那些充斥着杀意的子弹也打不穿诗人那面具下思想的刚硬,1.1
7887,就算再粗糙的纸面也磨不灭笔墨砚滋养的苍劲,1.1
7888,想出演新剧 那么舞步要尽早的编排,1.1
7889,让歌词都变成金句就做个搬弄着韵脚的天才,1.1
7890,艺术家被商人带着 兜圈 为何,1.1
7891,再多的狼群对人类的文明也只能选择进化成犬 收编 配合,1.1
