,lyrics,class
2433,为时过晚只能深吸 一口气,5.2
2434,咬牙告诉自己厚着脸皮继续 当快风干的咸鱼,5.2
2435,有时穷得连饭都要吃不起 还谈何不散筵席,5.2
2436,地铁上的乞丐又在演戏骗取着同情,5.2
2437,我们没有差异 都为了生活下去,5.2
2438,恍惚之间地铁骤停,5.2
2439,乘客上下络绎,5.2
2440,弥补遗憾让悔恨都得到过滤,5.2
2441,早班地铁搭乘禁锢一贯秩序,5.2
2442,脸上带着面具天真渐渐逝去,5.2
2443,早班地铁总是混乱总是拥挤,5.2
2444,灵魂被榨干乘客期待空的座椅,5.2
2445,给我希望哪怕开往下个世纪,5.2
2446,莲花路站到了 开右边门 乘客当心,5.2
2447,注意提防列车与月台之间的空隙,5.2
2448,一号口有间饼屋 二号口小贩拥挤,5.2
2449,交通卡余额不足刷了几遍都出不去,5.2
2450,进入大学不知不觉四个年头,5.2
2451,很多道理直到现在我才想透,5.2
2452,独自闯荡残酷社会我还欠缺火候,5.2
2453,从小在随遇而安里长大,5.2
2454,现在却总是说我做事过于理想化,5.2
2455,所以我总是彷徨想走的路到底在哪,5.2
2456,学着逢场作戏吞声忍气也没办法,5.2
2457,一切都是过程 男孩一直走,5.2
2458,听的音乐像是告解循环一首首,5.2
2459,不知不觉又把心声写进这节奏,5.2
2460,这首会变成我的财富直到多年后,5.2
2461,弥补遗憾让悔恨都得到过滤,5.2
2462,早班地铁搭乘禁锢一贯秩序,5.2
2463,脸上带着面具天真渐渐逝去,5.2
2464,早班地铁总是混乱总是拥挤,5.2
2465,灵魂被榨干乘客期待空的座椅,5.2
2466,给我希望哪怕开往下个世纪,5.2
2467,喜欢在入睡前胡思乱想,5.2
2468,折磨自己 再多心事没人能讲,5.2
2469,转发可笑的幸运微博当成信仰,5.2
2470,消费着善良毕竟坏事发生谁也不想,5.2
2471,如果把爱的机会形容成跳蚤市场,5.2
2472,不知道被选中的概率飘渺像烟火一样,5.2
2473,一个人的内心剧场演得酣畅,5.2
2474,直到要谢幕才发现始终无人进场,5.2
2475,渐渐变成自己讨厌的样子,5.2
2476,活着自己曾最讨厌的方式,5.2
2477,太多自以为 在膨胀 听来讽刺,5.2
2478,原本自信 被愚蠢 和贪心统治,5.2
2479,微不足道 列车上的你我,5.2
2480,面面相觑 会发生多少如果,5.2
2481,素昧平生恐怕没有交集段落,5.2
2482,冥冥中又悄悄燃起哪些烛火,5.2
2483,弥补遗憾让悔恨都得到过滤,5.2
2484,早班地铁搭乘禁锢一贯秩序,5.2
2485,带上面具脸上天真渐渐逝去,5.2
2486,早班地铁总是混乱总是拥挤,5.2
2487,灵魂被榨干乘客期待空的座椅,5.2
2488,给我希望哪怕开往下个世纪,5.2
2489,早班地铁始终禁锢一贯秩序,5.2
2490,早班地铁依然混乱依然拥挤,5.2
2491,请你开往下个世纪……,5.2
3423,有时很多演出 有时收入不足,5.2
3424,有人羡慕我们自由职业,5.2
3425,不颠倒是非黑白 颠倒白天黑夜,5.2
3426,偶尔也会让人感动到哭泣 好像歌词都是写你,5.2
3427,不要扯什么四大元素 不要太严肃 只要最真实的流露,5.2
3428,好累 又上了一天班,5.2
3429,我只想回家不想熬夜再到一点半,5.2
3430,还是倒数记得brt是四北站,5.2
3431,公文包中的让我对习惯感觉不习惯,5.2
3432,一样是熟悉的街道都是陌生的人,5.2
3433,不一样的心情但表情都木然的逼真,5.2
3434,我在想为什么我也一样没法去微笑,5.2
3435,可是当她的出现突然气氛变得微妙,5.2
3436,在我的九点钟方向定格,5.2
3437,甚至怀疑她应该不算过客,5.2
3438,是那种不一样的感觉不会太冷也不太热,5.2
3439,是那种有着干净面貌散发香味眼神清澈,5.2
3440,如果 有可能她会成为我的另一半,5.2
3441,那我也不会觉得疲惫,5.2
3442,哪怕每天都上班到这么晚,5.2
5592,14年yee的CSC,5.2
5593,压力提前将至时刻都在为我来复习,5.2
5594,一个人freestyle练习,5.2
5595,一个人写词带着专心,5.2
5596,多少心事全部都烂在了肚里,5.2
5597,没有人想要陪伴经历这一段段过程,5.2
5598,所以所有的一切全部强加于一个人,5.2
5599,我想你当然无法体会,5.2
5600,疼痛不止是肉疼,5.2
5604,保留性格说话根本不想再学着绕弯,5.2
5605,心存希望期望能把生活压力给操翻,5.2
5606,在下一次的孤独袭来挡住糖衣炮弹,5.2
5638,没发过誓但说了就要办,5.2
5639,没有气可叹,5.2
5640,我的梦我不用盼,5.2
5641,听节奏不必听扯淡,5.2
5642,只要我还没哑喉咙就绝对会有合同,5.2
5643,赚的跟你不绝雷同当爸妈以我为荣,5.2
