,lyrics,class
834,当你搭上了这班生命时光列车,4.1
835,在轮回之前 身边的旅客越来越来,4.1
836,你的困惑和问题都藏在这节车厢里面,4.1
837,只有你自己才能找到真正的问题答案,4.1
838,这首歌我写给自己 也同样写给你,4.1
839,你是否也跟我一样有相同或差不多的经历,4.1
840,我想要告诉我自己奉劝我自己 千万别怕输,4.1
841,哪怕这世界坍塌 人生太复杂 我也不服输,4.1
842,那就让暴风雨下吧 像子弹打在我脸上,4.1
843,让别人人骂吧 我自己坚持去远航,4.1
844,就算给我时光隧道 重新来过我还是这样,4.1
845,把我压倒就怎样 只要不死我就能爬起,4.1
846,要做就做最大让我到达巅峰,4.1
3039,永远唱着 I believe I can fly,4.1
3040,从来不怀疑 we can touch the sky,4.1
3041,深呼吸 沉住气,4.1
3042,迎着全世界的怀疑,4.1
3043,用全力 去还击,4.1
3044,还给全世界一个奇迹,4.1
3045,喘着粗气 汗水在哭泣,4.1
3046,你感觉到双腿的无力,4.1
3047,球场的喧闹让你更加孤寂,4.1
3048,这比赛的结局已经不用估计,4.1
3049,差距太过悬殊,4.1
3050,刺眼的分数 中场分胜负,4.1
3051,队友已经放弃了演出,4.1
3052,对手已经开始了庆祝,4.1
3053,你心里清楚 还难分胜负,4.1
3054,你觉得不服 想重振旗鼓,4.1
3055,你心里没底 你害怕败绩,4.1
3056,你开始怀疑 你太过在意,4.1
3057,输过的比赛像是重播的回忆,4.1
3058,你觉得自己应该努力创造奇迹,4.1
3059,然后你怀疑 你再问自己,4.1
3060,改变一切 你是否真的可以,4.1
3061,深呼吸 沉住气,4.1
3062,迎着 全世界的怀疑,4.1
3063,用全力 去还击,4.1
3064,还给全世界一个奇迹,4.1
3065,需要 一波反攻的高潮,4.1
3066,需要 不肯认输的骄傲,4.1
3067,需要 我亲手来画句号,4.1
3068,需要 拼到最后一秒,4.1
3069,给我 坚持的理由,4.1
3070,给你 最强硬的对手,4.1
3071,给我 一次最后的坚守,4.1
3072,我给你 一场逆转乾坤的好球,4.1
3073,在终场哨响前不论生死存亡,4.1
3074,半场交换场地,4.1
3075,篮筐下的战场,4.1
3076,不杀到最后一投 不散场,4.1
3077,准备迎接排山倒海的反扑,4.1
3078,因为不到最后一秒比赛没有结束！,4.1
3079,说我输太多没有希望,4.1
3080,但我没输掉 对胜利的期望,4.1
3081,胜利成绩被夺走我生气,4.1
3082,岂有此理我反转天地边际,4.1
3083,深呼吸 沉住气,4.1
3084,迎着 全世界的怀疑,4.1
3085,用全力 去还击,4.1
3086,还给全世界一个奇迹,4.1
4552,拍着胸脯告诉我的兄弟们,4.1
4553,再坚持一会儿就会有更好的体验,4.1
4554,带着笑容上路寻找宝物,4.1
4555,永远忠于音乐本身就是我最低的底线,4.1
4556,我的肩膀上的担子真的很重,4.1
4557,别人买一套房而我想买整栋,4.1
4558,要让我的妈妈放心变更稳重,4.1
4559,我忍痛,4.1
4560,为了长出翅膀这种“蠢梦”,4.1
4561,戴着面具的人想来这里跟风,4.1
4562,我在制造火箭立马就能升空,4.1
4563,我存在的意义保证了中文的说唱发展列车轮胎向前均匀快速滚动,4.1
4564,我相信我付出就有回报,4.1
4565,挫折不足为道 好运把我围绕,4.1
4932,Hater 别生气 i rap like cocaine,4.1
4933,从不会为了那些琐碎的事而沉寂,4.1
4934,每天时间太紧凑 还要忙着做领袖,4.1
4935,钱怎么赚都赚不够 Im Rap So dope,4.1
4936,I m from anti-ravity 2017开始发力,4.1
4937,从东北开始慢慢渗透进了全国各地,4.1
4938,在这条道路上总有人想要抹几层黑,4.1
4939,把他们全击败建立了自己的里程碑,4.1
4940,我与Pussy还有hater无法相处,4.1
4941,只有金钱才能让我全神贯注,4.1
4942,钞票 揣进我兜里 准备买辆 Pagani,4.1
4943,消极的人 我不搭理 别想着 来跟我攀比,4.1
4944,有人盼我输  我不能失误,4.1
4945,走在任何地方就是特别的酷,4.1
4946,我和homie总是能够引起别人嫉妒,4.1
4947,在背后千方百计想要把我打倒,4.1
4948,可见了我的面却是对我满嘴讨好,4.1
4949,请别总是在背后对我指指点点,4.1
4950,欢迎当着我的面而不是遮遮掩掩,4.1
4951,沈阳市场 我们开拓,4.1
4952,这歌让你了解谁强谁弱,4.1
4953,我的声波 进入耳膜,4.1
4954,神经里细胞都被我捕获,4.1
4955,Pussy全部都在想怎么靠近我,4.1
4956,你也想得到这 一切需要拿命去拼,4.1
4957,从没想过失败只是有着超大野心,4.1
