,lyrics,class
287,有得到也有失去,6.2
288,平凡的一年,6.2
289,还记得在最初,6.2
290,送给自己的承诺,6.2
291,没想到在结束的时候,6.2
292,却只剩沉默,6.2
293,告诉镜子里的他,6.2
294,你已经不小了,6.2
295,要学会衡量,6.2
296,什么才是最重要的,6.2
297,你可以无畏地宣泄,6.2
298,内心的愤怒,6.2
299,向天空大声呐喊,6.2
300,我要走自己的路,6.2
301,去追自己想要的,6.2
302,痛哭也欢笑着,6.2
303,没有什么好担心的,6.2
304,勇敢地奔跑着,6.2
305,我还年轻我要过把瘾,6.2
306,直到一阵冰冷的大雨,6.2
307,把我打醒,6.2
308,我以为能够把握好,6.2
309,自我的命运,6.2
801,他出生在97年十月 下着雪的那个暖冬,6.2
802,他第一次哭或许是对这个世界太过陌生,6.2
803,但他那时笑的不勉强 也不为任何人才流泪,6.2
804,他在刚经历过痛苦的母亲的怀抱里安详的入睡,6.2
805,那是他最幸福的时光 虽然很短暂,6.2
806,却没人骂他没出息 是傻逼 或者懒蛋,6.2
807,他在幼儿园从来不羡慕别人会开车接小孩回家,6.2
808,他爸爸把他举过头顶那画面停刻在夕阳下,6.2
809,他6岁那年 渐渐开始懂事,6.2
810,帮爸爸买过烟 也帮妈妈洗过脚,6.2
811,他开始明白小时候听的格林童话故事,6.2
812,教会他做人告诉他滴水之恩当涌泉相报,6.2
813,又过了5年 11岁的他懂得了人生的含义,6.2
814,这世界告诉他生命里不只有游戏机和玩具,6.2
815,他的初恋不喜欢他喜欢的流行歌,6.2
816,但是他搞不懂这世界上怎么有那么多为什么,6.2
817,14岁的他第一次叛逆离开家,6.2
818,在他最需要帮助的时候 眼里的朋友却离开他,6.2
819,在午夜的街头他哭着喊着想要去见家人,6.2
820,他懂了这世界上永远为你敞开的只有家门,6.2
821,15岁的他他奇怪 为什么眼眶会红,6.2
822,因为他懂得了爱 也懂了什么叫疼,6.2
823,当别人问他伤害过你的人 你作何感想,6.2
824,他告诉他那不是伤害 那叫做成长,6.2
825,16岁他意识到自己肩膀上的重担,6.2
826,他不只是为自己而活因为有了太多羁绊,6.2
827,面对家人的要求 也不在是借酒消愁,6.2
828,而是想努力的达到,6.2
829,不再让谁失望就把机会拿到,6.2
830,他并不富裕但是不贫穷 虽年轻但是并不平庸,6.2
831,他有了自己的梦想 并且想法天马行空,6.2
832,有人告诉他无法去改变命运的编排,6.2
833,但他不屑一顾说自己是幸运的天才,6.2
939,年少的我们都会有点无知,6.2
940,但最美的就是这种爱中没有所谓的物质,6.2
941,你离开时世界黑暗的伸手不见五指,6.2
942,拿起了铅笔泪滴在了素描的图纸,6.2
943,刻画着你的模样脑海里仍然记忆犹新,6.2
944,Yeah 曾经大手拉小手,6.2
945,让我全拥有,6.2
946,轮到大手牵老手可我却溜走,6.2
