,lyrics,class
196,说爱你 爱你 在一起 就go with u,2.0
197,说真的 真的 marry me  oh  my super nice girl  x2,2.0
198,很开心睁开双眼看到她在我的怀里,2.0
199,我只想安静的看着她 真的离不开你,2.0
200,这样动都能不想动 偷偷的被掌控,2.0
201,准备好了放下一切跟你一起走,2.0
202,想法特别简单 也只有你能懂,2.0
203,不用太多文字 也不用太多表示,2.0
204,虽然爱就一个字但想对你,2.0
205,不善言辞  偶尔会让你失望,2.0
206,可我只想用心把它写在洁白的纸上,2.0
207,没有敷衍 也不会出现搪塞,2.0
208,你知道你不喜欢的事情 我来不会都不强迫528910803,2.0
209,开心我陪你笑,2.0
210,无聊我陪你闹,2.0
211,感觉太微妙,2.0
212,将你紧紧抱,2.0
213,这不是一场游戏 需要紧紧靠,2.0
214,说爱你 爱你 在一起 就go with u,2.0
215,说真的 真的 marry me  oh  my super nice girl  x2,2.0
216,我的每次失落 你总告诫我努力,2.0
217,再每天的清晨都会收到你的鼓励,2.0
218,我想你也许是老天爷赐给我的天使,2.0
219,只要有你出现爱从来没有停止,2.0
220,一切也许是巧合 这样让你我相遇,2.0
221,在秋天的傍晚 好像刚过了雨季,2.0
222,你扬起的嘴角 像黑夜中的火炬,2.0
223,爱你很危险 可我早不想躲避,2.0
224,累了有你背我走,2.0
225,想想和你白发的时候   x2,2.0
226,我爱你 爱你 在一起 就 go with u,2.0
227,说真的 真的  marry me oh  my super nice girl  x2,2.0
228,爱你  爱你  just go with u,2.0
229,爱你  爱你  nice super girl,2.0
395,还记得那个少年不务正业钻研说唱学还不上,2.0
396,他只是想为你写首情歌 别来无恙,2.0
397,怎么突然之间不知道,2.0
398,该怎么面对面,2.0
399,不知道怎样表达自己适应你的改变,2.0
400,怎么才会让自己更能靠近你的身边,2.0
401,我忘了怎样呼吸,2.0
402,甚至忘了现在的时间,2.0
403,曾经我落下眼泪,2.0
404,现在你来帮我捡,2.0
405,我想得很简单 清晨起来,2.0
406,就是这样一直不断给你,2.0
407,输入能量源,2.0
408,在你心情不好的时候才有电,2.0
409,担心你会被骗,2.0
410,把你心愿都实现,2.0
411,把生活负能量都赶走,2.0
412,充实着每一天,2.0
413,按你的要求,2.0
414,家里有属于你的房间,2.0
415,我也想每天醒来都能看见你,2.0
416,监督每天早睡不让你有黑眼圈,2.0
417,虽然你总是吵闹在我耳边,2.0
418,曾经我落下的眼泪,2.0
419,现在你来帮我捡,2.0
420,我想的很简单 清晨起来,2.0
421,有你在我身边,2.0
422,一次就够,2.0
423,就让我把你抓住,2.0
424,不管过去怎样,2.0
425,反正我是你的以后,2.0
426,你所有的安全都由我来保护,2.0
427,在你需要拥抱的时候给你温度,2.0
428,我不会让你受到伤害,2.0
429,愿当你的光,2.0
430,给你我的心牵你的双手,2.0
431,站在你身旁,2.0
432,不管未来怎样未知,2.0
433,你也不要惊慌,2.0
434,所有你不喜欢做的都有我来挡,2.0
435,时间 再走,2.0
436,生活也是简单,2.0
437,你想要的都拿去只要你喜欢,2.0
438,我愿意为你去改变,2.0
439,做你的后盾给你安全感,2.0
440,不管是以前是以后现在,2.0
441,都还不算是太晚,2.0
442,脑海里已经粘贴你的各种模样,2.0
443,从没有过的认真,2.0
444,除了你我都不要,2.0
445,喜欢你的调皮喜欢你对我笑,2.0
446,我的肩膀也只留给你一个人靠,2.0
447,曾经我的谁的眼泪,2.0
448,现在你来把我牵,2.0
449,我想的很简单 情撑起来,2.0
