,lyrics,class
5854,为了留过的汗 我们的梦至今还没换,8.0
5855,风水轮流转 赚赚个几百万,8.0
5856,现在的我在全国各地巡演,8.0
5857,身价还有点 沉甸的牌匾,8.0
5858,能谋生还能给爸妈长脸,8.0
6364,只有钱能够牵人走,8.0
6365,看着他们被牵着走,8.0
6366,我的钱已经先得手,8.0
6367,homie都要我抽点,8.0
6368,但是我已经收敛,8.0
6586,舞台上的低音穿透我的神经,8.0
6587,脖子上的链子必须换成纯金,8.0
6588,我的父母已经不再怀疑我的能力,8.0
6589,我们每日每夜努力换来更多人民币,8.0
6742,你问我应该咋个办,8.0
6743,我说先再赚五百万,8.0
6744,金银财宝往身上穿,8.0
6745,钻石往牙齿高头安,8.0
6746,越是深沈的人表达越是肤浅是为了让人容易听懂,8.0
6747,越是肤浅的人越爱装深沈他想让以为他懂,8.0
6748,你看我表达单纯 想更出名不当一般人,8.0
6749,我从几百人唱到千人 再从千人唱到万人,8.0
6750,上进心让我不能安分 我的血液像开水在翻腾,8.0
6751,只有名利双收才能让我觉得活到不算太残忍,8.0
6752,如果我有一天啥子都不得咯,8.0
6753,至少我要有名和钱拿给我去挥霍,8.0
6754,早看透花花世界 香槟代替眼泪在嘴角,8.0
6755,为了想拒绝的画面绝不配合,8.0
6756,必须功成名就 理哈我的领口,8.0
6757,最原始的欲望化作力量在我心头,8.0
6758,除了挣钱其他时候都在花,8.0
6759,我和Ty. 从成都到台北 pull up on the block,8.0
6760,我们胃口很大几千几百万都装的下,8.0
6761,在上海遇到个妹子,8.0
6762,我记不住她的face 我冷酷像我的ice,8.0
6763,必须功成名就 票买完了停售,8.0
6764,年轻是我bankroll 才华是我bankroll,8.0
6765,和我跳个tango 踩着我的lambo,8.0
6766,爱上我是玩火 失去我会难过,8.0
6767,必须功成名就 理哈我的领口,8.0
6768,最原始的欲望化作力量在我心头,8.0
6891,我赚来的钱根本不需缴车贷 没在背债 钞票塞裤带 自己承担好坏,8.0
6892,想陷害我 见怪不怪 但现在 我的时代 妹仔知道该要选谁现在,8.0
6893,BABY IN MY CAR 车厢还有球棒,8.0
6894,别随意按喇叭 冲刺看谁车子壮,8.0
6895,习惯溜搭 开著车在街上晃,8.0
6896,在道路上飘荡 跟我兄弟漂浪,8.0
6897,超爽的开著二手车 听著饶舌歌 口音老乡土,8.0
6898,来自南方的台客 素T穿白色,8.0
6899,SOUTHSIDE SOUTHSIDE 台北台北KIDS,8.0
6900,白袜配拖鞋 老乡中的FASHION,8.0
6901,关键 车身都降低 然后撑著我的低音快当机,8.0
6902,要当心 前面照相机  超速被拍的时候我还在车上吃炸鸡,8.0
6903,买东西不喜欢下车,8.0
6904,他们知道我写得生活不是假的,8.0
6905,认识我的人才知道品味跟价格,8.0
6906,我开的车是九零红色五门的雅哥,8.0
6907,四处乱晃开车 让妹们都爱著,8.0
6908,南方老乡的PARTY让她们觉得太扯,8.0
6909,就爱泡钮改车 再把兄弟载著,8.0
6910,代表南方的老乡我就是来自木栅的台客,8.0
6911,超爽的开著二手车 听著饶舌歌 口音老乡土,8.0
6912,来自南方的台客 素T穿白色,8.0
6913,SOUTHSIDE SOUTHSIDE 台北台北KIDS,8.0
14943,你有你的奢我求我有我的本领,8.0
14944,我的目标给我daddy买辆布,8.0
14945,加迪,8.0
14946,住上大别墅,8.0
14947,make make money满足你的虚荣心,8.0
15150,我要赚钱 要开大奔,8.0
15151,唯一方法 是把我跟,8.0
15152,活在这个世上要学会感恩,8.0
15153,他说 要有钱,8.0
15154,你的表情微笑必须很 甜,8.0
15155,我说 随你的便,8.0
15156,反正他们不识人烟,8.0
15157,黄金拿着讲 一会去瑞士,8.0
15158,我们太过强 不在一个档次,8.0
15159,不要再去装 都击碎你的梦,8.0
15160,生活对你还是非常的nice,8.0
15161,我们通往成功的道路一定会是费气费力,8.0
15162,与规则对立 共度春宵美丽维密,8.0
15163,从ghetto到别墅保留了记忆意义 赚钱机器,8.0
15164,KD的说唱实力能把你击毙 再开天辟地,8.0
15165,拿颗橄榄给Kramcharlie,8.0
15166,别说 和我吧嘻哈圈共建,8.0
15167,我们再看这个懒汉是你,8.0
15168,压力再大 都可以冲天,8.0
15169,没啥品味 就给你空援,8.0
15170,贪婪的宫殿,8.0
15171,被灿烂的攻陷,8.0
15172,安然的空姐,8.0
15173,赚泛滥的工钱,8.0
15174,哎呦Dope Charlie最近过的咋样？,8.0
15175,你跟那姑娘咋样了？,8.0
15176,这个世界太过太过太过乱,8.0
15177,flow换的太过太过太过快,8.0
15178,可以再去再去再去当个官,8.0
15179,然后再去再去再去把钱赚,8.0
20250,终日奔波苦一刻不得闲,8.0
20251,我在干大事你不要乱,8.0
20252,那些蝇头小利留著 宁可不要赚,8.0
20253,承认吧 没有好处的活谁要干,8.0
20254,没有载完整船黄金 我们不靠岸,8.0
20255,女人想要钻戒 五星级的饭店,8.0
20256,小子没有碰过活的拜金 没有概念,8.0
20257,WORK HARD 到半夜 其他人都在睡,8.0
20258,我们来的地方 每个兄弟都想上位,8.0
20259,谁管HIPHOP 还不HIPHOP太小家子气,8.0
20260,国中还没毕业 我就学会做生意,8.0
20261,天生干大事的少年董 比富二代争气,8.0
20262,没有含著金汤匙 超工时 疯捞十亿,8.0
20263,想要尬阮乔平大 拿钱来讲,8.0
20264,干大事只看数目,8.0
20265,没在看小额利润 嘿拢多讲,8.0
20266,进帐塞爆我的帐户,8.0
20267,我从来不找靠 自己当作股票,8.0
20268,干大宗要够狠 冻未条的咖小先跑,8.0
20269,当我在家数钞票 出手似阔少,8.0
20270,现在换我跟阮兄弟主事拢无你的局,8.0
20271,干得高调才醒目 北七还搞不清楚,8.0
20272,顶住几十个亿 服我的人都在同一路,8.0
20273,插旗横扫拓疆土 兄弟们干遍江湖,8.0
20274,挡我的发财路那些绊脚石全部都铲除,8.0
20275,我在养家活口 把现金夺走,8.0
20276,快发牌结局要发财垃圾赶快挪走,8.0
20277,挡路门都没有 钱在跟你挥手,8.0
20278,莎呦那啦别想发达把你马子亏走,8.0
20279,胸怀大志 赚钱不偷懒,8.0
20280,享受过后我才不想糊口饭,8.0
20281,拼了命再往上闯荡我的状况狂妄,8.0
20282,老乡榜样 传遍在地方上,8.0
20283,花光不紧张 因为一直进帐,8.0
21957,要钱不要命 ,8.0
21958,我需要钱 money 红色的人民币,8.0
21959,数不尽的快感 Hustle Hustle 数钱数到麻双臂,8.0
21960,为了钱 money 要钱都不要命,8.0
21961,每个充满欲望 需要被解放的人 前拥后挤,8.0
21962,它到底有多大魅力 Y know what i mean,8.0
21963,赌徒愿意为了 money 耗费全部的运气,8.0
21964,Hustle working everyday 打赢每场经典的战役,8.0
21965,like walking on the moon 双脚开始失去重力,8.0
21966,当你手里握着钱 money 创造着美好的记忆,8.0
21967,站在凯旋门的中央 like a king 台风八级,8.0
21968,坐在Gulfstream的飞机 从家里飞到迈阿密,8.0
21969,每个homie crazy crazy 都只为同个目的,8.0
21970,当我把经济堆积 皇权树立 他们的眼神都变了,8.0
21971,我的名字可以 上天入地 左右一切束缚道德,8.0
21972,身边的Hustler都出现了 让我变得越来越快乐,8.0
21973,金钱能够改变性格 金钱能够代表万恶 ,8.0
21974,我把帽檐向下拉低 站在尸横遍野的街头,8.0
21975,只看到那些利欲熏心 他们的眼里都充满阴谋,8.0
21976,这世界成王败寇 没有太多多余 的步骤 ,8.0
21977,看那宫殿之下 有多少垫脚石 留下无名的坟墓,8.0
21978,U know Ghetto 里面发生的故事 太凶险血腥残酷,8.0
