,lyrics,class
1673,今宵别梦寒,6.0
1674,曾经每天都混在一起my homies,6.0
1675,谁还记得那段时间,6.0
1676,我最爱听的nelly,6.0
1677,现在已经不流行,6.0
1678,回不去的曾经,6.0
1679,就像看着你远走的背影,6.0
1680,变得模糊不清,6.0
1681,我说再来写首歌吧,6.0
1682,他都不想唱了,6.0
1683,去年还祝我生日快乐,6.0
1684,今天可能忘了,6.0
1685,分道扬镳,6.0
1686,各自面对人生的挫折,6.0
1687,总说自己没变,6.0
1688,假装那年欢笑还在定格,6.0
1689,还在定格还在定格,6.0
1690,我们听的歌,6.0
1691,还在定格还在定格,6.0
1692,看着马路上的车,6.0
1693,抱怨宵夜人怎么那么多,6.0
1694,口头禅还在说,6.0
1695,仿佛没变过,6.0
1696,时间却已经成蹉跎,6.0
1697,你选什么方向,6.0
1698,不管哪条路上,6.0
1699,开始盼着衣锦还乡,6.0
1700,曾经的大梦想换成了小愿望,6.0
1701,那是你的成长,6.0
1702,我却正准备远航,6.0
6167,每天我从城市这边开往另一边,6.0
6168,一路跟着伴奏打开我除了视网膜的眼,6.0
6169,河的西边时间会安静一些,6.0
6170,过了这些年仿佛又回到原点,6.0
6171,我还记得每次断了片的庆功宴,6.0
6172,我也记得曾经大家笑着眼泪却在偷咽,6.0
6173,我不能等到老来才空悲切,6.0
6174,再跑快点才能够从悬崖中飞跃,6.0
9414,错误的理解因为产生的逻辑,6.0
9415,一个沉默不语一个暴躁不已,6.0
9416,爱从哪里开启,6.0
9417,信息没有回音,6.0
9418,对爱没有回忆,6.0
9419,回不去的爱因为伤心有了距离,6.0
9420,靠近恐惧失去的是那自己,6.0
9421,自言自语得不到的是感情,6.0
9422,想摸得到回应爱像谁又较上了劲,6.0
9423,原来她只想吃我的钱,6.0
9424,还要披上纯情的马甲为自己遮掩,6.0
9425,抛开我的车全程追尾还耗我的车险,6.0
9426,大多数夜晚我只能和自己右手热恋,6.0
9427,分手之后才知道她原来是个双性恋,6.0
9428,亏我还带领她去大清皇室参观医院,6.0
9429,时隔多年的今天她女友成了我嫂子,6.0
9430,现在发觉她长得根本就像郑老师,6.0
9431,啊？ WO！ OH！ NO...,6.0
9432,CHINA 肆 把那拆了,6.0
9433,把这拆了 这院别拆,6.0
9434,摆刷学子万岁,6.0
9435,凤凰鸣 醉人 汀洋,6.0
9436,诶本来是要说去台湾的,6.0
9437,诶 你们知不知道为什么女人比男人活得长啊,6.0
9438,我告诉你啊,6.0
9439,因为女人经常爱哭,6.0
9440,哭的时候那个毒素就排出来了,6.0
9441,男人老 老装 不怎么哭,6.0
9442,因为女人吧 活的比男人长,6.0
9443,你们知道么,6.0
9444,我觉得说的不错,6.0
9445,六年 对 没怎么着,6.0
9446,小时候跟爸妈总是吵架闹独立,6.0
9447,现在不愿意扛得也得自己扛起,6.0
9448,把希望寄托在爱上找个人分担,6.0
9449,想做到不喝酒不抽烟,6.0
9450,烦恼像贱人却每天到你身边,6.0
9451,酒精伤胃但是却能给我安慰,6.0
9452,抽烟伤肺但是却能解脱疲惫,6.0
9453,吐一个烟圈 眉目间盘旋,6.0
9454,你的爱危险 孤独的可怜,6.0
9455,当我爱的女孩数量越来越多,6.0
9456,都已成熟了今天谁都不发誓,6.0
9457,放弃多了也就不懂得坚持,6.0
11060,火把倒下火焰依然向上,6.0
11061,我还没死你能把我怎样,6.0
11062,不服不怕 不甘平庸,6.0
11063,流尽所有的血我也不怕疼,6.0
11064,给我一座山我就是老虎,6.0
11065,给我天空我是最高的星星,6.0
11066,我要进攻 我要进攻,6.0
11067,倒下爬起跪着我也能走到最终,6.0
11068,还清楚的记得那纸落榜的成绩,6.0
